ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
nic57:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 763210, 4405636596, 252, 384, 14990
nic57:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic57:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic57:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1347690000, 162558081266000000, 48, 32000, 139502000
nic58:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 491516, 1680179142, 252, 366, 12782
nic58:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic58:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic58:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1362094000, 100041410538000000, 75, 18000, 108910000
nic59:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 648091, 2615811931, 252, 382, 10942
nic59:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic59:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic59:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1376720000, 168436568294000000, 63, 2000, 133694000
nic60:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 1337913, 10278109239, 252, 299, 14478
nic60:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic60:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic60:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1378736000, 162322390696000000, 110, 18000, 132386000
nic61:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 2796544, 34169079832, 252, 306, 19966
nic61:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic61:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic61:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1400228000, 171559892000000000, 86, 32000, 141902000
nic62:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 3393540, 50583570814, 252, 450, 23966
nic62:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic62:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
nic62:rtrLink:networkIF:networkIF, idle_time, , Accumulator, 1594580000, 0, 1392720000, 171175732776000000, 85, 18000, 148238000
nic63:rtrLink:networkIF:networkIF, packet_latency, , Accumulator, 1594580000, 0, 138378, 123484668, 252, 224, 1390
nic63:rtrLink:networkIF:networkIF, send_bit_count, , Accumulator, 1594580000, 0, 2013600, 32229361920, 252, 360, 16384
nic63:rtrLink:networkIF:networkIF, output_port_stalls, , Accumulator, 1594580000, 0, 0, 0, 0, 0, 0
